

DFT calculations of BODIPY obtained in;         0:11:48.611285s ; as data2402/BODIPY/BODIPY_DFT.chk exist 
Dipole moments ; (0.00046531033934360034, 4.263577560577363, 0.0016232069175488631)
,a.u.,eV
Total energy,-681.651566507696,-18548.683907378618
Electronic energy,-1548.3618405575278,-42133.07174204858
Nuclear repulsion energy,866.7102740498339,23584.38783467002
MO energy of HOMO,-0.23212509321123742,-6.316445516299463
MO energy of LUMO,-0.11774330956206108,-3.2039586477656012
HOMO-LUMO gap,-0.11438178364917634,-3.1124868685338614


TDDFT-TDA calculations of BODIPY obtained in;             0:14:11.326983s ; as data2402/BODIPY/BODIPY_TDA.chk does not exist
             0:11:03.547856s ; as data2402/BODIPY/BODIPY_TDA3.chk don't exist
,a.u.,eV/ns
Fluorescence energy,0.12690841836525416,3.4533539613245883
Singlet-Triplet gap,0.06361014163710639,1.7309201188741767
Oscillator strength,0.35521050263436643,0.35521050263436643
Lifetime,5.4402951299003995e-09,5.4402951299004
Multi-Obj,-1.6290635775643985,-1.6290635775643985
