Type of solver,Mapper,Optimizer,GS electr. energy,Rel. error (%),Elapsed time
Numpy,PM,,-1.137306035753399,,0:00:00.070707
VQE,PM,COBYLA,-1.1373060313237042, 0.0000,0:00:00.144760
VQE,PM,SLSQP,-1.1373060356958726, 0.0000,0:00:00.098191
VQE,PM,L_BFGS_B,-1.1373060357533982, 0.0000,0:00:00.122151
Numpy,JWM,,-1.1373060357533986,,0:00:00.079715
VQE,JWM,COBYLA,-1.1373060313237042, 0.0000,0:00:00.152028
VQE,JWM,SLSQP,-1.1373060356958353, 0.0000,0:00:00.084689
VQE,JWM,L_BFGS_B,-1.1373060357533973, 0.0000,0:00:00.090757
Numpy,BKM,,-1.1373060357533986,,0:00:00.060856
VQE,BKM,COBYLA,-1.1373060313237042, 0.0000,0:00:00.150890
VQE,BKM,SLSQP,-1.1373060356958353, 0.0000,0:00:00.083454
VQE,BKM,L_BFGS_B,-1.1373060357533973, 0.0000,0:00:00.085636
